id,name,role,years,photo,photoStatus,funTitle,bio,philosophy,stack,focus,record,reviews
aneeb,Aneeb Iqbal,Founder · Principal Engineer,6+ years shipping,/team/aneeb.jpg,Photo,"The closer. If your product needs a pulse, he finds it.","Six years shipping across hospitals, crypto, verification, and HR tools. Runs the whole operation.",Ship the smallest thing that proves the biggest risk wrong.,TypeScript | Next.js | Node | React | React Native | AWS,HIPAA production | product architecture | scoping | rescue,"Sully.ai:Led the hospital AI build to HIPAA production, with role-based access, clinical dashboards, and EHR integration.:https://sully.ai | Noti.io:Shipped the Web3 crypto-sniping platform, wired through a Telegram bot on live chains.: | myUsta:Built the two-sided tradesperson marketplace for the Albanian market, live on iOS and Android.:https://myusta.com","Sully.ai:co-founder:Aneeb read every line of the spec before quoting - and it is exactly why we signed. He cared about production more than the invoice. | myUsta:founder:The first dev lead who told us what would fail before it did, then fixed it before launch."
zaira,Zaira Iqbal,Principal Engineer · Full Stack,10+ years,,Photo pending,"The godmother. Ten years of full-stack scar tissue, zero tolerance for halfway.","Principal full-stack engineer with ten years across the front, the back, and everything in between.",Architecture is deciding what you refuse to build.,React | Node.js | TypeScript | PostgreSQL | AWS | REST,full-stack architecture | system design | TypeScript,Sully.ai:Owned full-stack architecture for the healthcare AI platform across its production builds.:https://sully.ai | DeepIDV:Led architecture for the compliance-facing verification platform and its agentic workflows.:https://deepidv.com | Dubizzle:Delivered platform work inside the UAE's largest classifieds ecosystem.:,Sully.ai:engineering lead:Zaira turned a messy brief into an architecture we could actually build against.
fizza,Fizza Iqbal,Principal Engineer,8+ years,/team/fizza.jpg,Photo,The one who holds the hard parts together.,Senior engineer holding the hardest parts of the stack together.,The hard 20% is where the money hides.,Next.js | React | Astro | Node | Firebase | Python | TypeScript,full-stack | SEO lead-gen | AI integrations | architecture,"SBA 504 Lead-Gen Site:Deployed an Astro + Sanity + Vercel SBA 504 loan site with full technical SEO, lead capture, and ownership handover.: | Mythos Archive:Architecture and discovery sprint: full technical plan, database modeling, AI strategy, and a phased roadmap.: | WearMeOut.ai:Backend for an AI custom t-shirt platform: Firebase auth, AI image pipeline, payments, and moderation.:","Shohel Ahmed:Founder:Fizza built and deployed our entire site and delivered clean, well-structured work. What set her apart came after the project ended: when we hit a deployment issue weeks later, she diagnosed the root cause quickly, fixed it on her side, and gave our team clear instructions to complete it. Would hire again. | Robby Struthers:Founder:What began as a mythology reference app has evolved into a polished, immersive experience because of her technical skill, attention to detail, and willingness to take ownership of the vision. She is not only an excellent developer but a true product partner."
mehak,Mehak Seedat,Solution Architect,7+ years,,Photo pending,"Chaos translator. Messy requirements in, working system out.",Turns messy requirements into a system that actually holds up in production.,Messy requirements are just systems that have not been drawn yet.,React | Node.js | AWS | PostgreSQL | System Design,solution architecture | compliance workflows | specs,"DeepIDV:Specced the agentic compliance workflows and modular verification flows.:https://deepidv.com | Cosell:Owned architecture support on the mature Rails ecommerce ecosystem.: | Fullscript:Designed healthcare product workflows for supplements, labs, and adherence.:","DeepIDV:CTO:Mehak turned requirements into a system. First call we were guessing, second call we had a plan."
najiullah,NajiUllah,AI / ML Expert,5+ years,/team/najiullah.png,Photo,"The model whisperer. RAG today, whatever it takes tomorrow.",Builds the models and the RAG and eval layers the AI work stands on.,"A model is a decision you can measure, not magic you trust.",Python | RAG | LLMs | FastAPI | Evals | TensorFlow,RAG | LLMs | evals | model ops,Sully.ai:Built the RAG and eval layers behind the hospital AI agents that run 5M+ clinical tasks.:https://sully.ai | DeepIDV:Contributed to the agentic fraud and verification agents.:https://deepidv.com | Mythos Archive:Shipped AI storytelling grounded in verified historical sources.:,"Sully.ai:co-founder:Najiullah explained the model decisions in plain English, and the evals held up in production."
hassan,Hassan Saulat,DevOps Expert,6+ years,/team/hassan.jpg,Photo,Keeps the lights on so the rest of us can build.,Keeps deploys green and production alive. Owns the pipeline end to end.,"If a deploy is exciting, the pipeline is not done.",AWS | Kubernetes | Terraform | CI/CD | Docker,CI/CD | uptime | AWS | cloud infra,Sully.ai:Built the pipelines and AWS infrastructure that keep hospital AI deployments green.:https://sully.ai | DeepIDV:Owned the compliance-grade infrastructure and monitoring behind sub-150ms checks.:https://deepidv.com | Dubizzle:Kept production healthy under millions of monthly visits.:,Sully.ai:co-founder:Deploys went from scary to boring. That is the highest compliment I can give a platform engineer.
suhaib,Suhaib Ahmad,Forward-Deployed Engineer,4+ years,/team/suhaib.png,Photo,"In the field, closest to whoever's actually using it.","Ships client features on the ground, close to the people actually using them.",The field knows which feature matters before the roadmap does.,WordPress | React | TypeScript | Frontend,client delivery | field work | shipping,Sully.ai:Shipped on-ground features and UX flows close to the clinicians using them daily.:https://sully.ai | myUsta:Delivered frontend work across the two-sided marketplace experience.:https://myusta.com | WearMeOut.ai:Took the React + Firebase frontend to production readiness.:,Sully.ai:product manager:Suhaib lived in our product and knew which feature was actually being used before we did.
mazar,Mazar Khan,QA Engineer,2+ years,,Photo pending,The one who breaks it on purpose so you don't have to.,QA engineer who hunts the edge cases before they reach real users.,Shipping that breaks quietly is not shipping.,QA | Test Automation | CI/CD | Regression Testing,QA | regression | release safety,Breakthrough Pulse:Built defensive QA and regression flows across every shipped delivery.:,DeepIDV:engineering lead:Mazar caught the bug that would have shipped to production. That is the whole job.
moiz,Moiz,Full Stack Engineer,4+ years,/team/moiz.jpeg,Photo,The one who makes the full stack look easy.,Full-stack engineer with a sharp eye for clean architecture and production-ready code.,Clean code is not about style — it is about speed of change.,React | Node.js | TypeScript | PostgreSQL | Next.js,full-stack | frontend | API design,Breakthrough Pulse:Shipped full-stack features across multiple client deliveries.:,"Client:founder:Moiz delivered clean, well-structured work on schedule."
hamza,Hamza,Backend Engineer,3+ years,/team/hamza.jpg,Photo,The one who keeps the servers honest.,"Backend engineer focused on APIs, databases, and the infrastructure that holds it all together.",A good API is one you never have to think about twice.,Node.js | Python | PostgreSQL | AWS | Docker,backend | APIs | databases | infrastructure,Breakthrough Pulse:Built and maintained backend services across multiple production deployments.:,Client:CTO:Hamza's backend work was solid and reliable.
abdullah,Abdullah,Frontend Engineer,3+ years,/team/abdullah.jpg,Photo,The one who makes the interface sing.,"Frontend engineer with a passion for accessible, performant, and beautiful user interfaces.",The best interface is the one you never notice.,React | TypeScript | Tailwind | Next.js | Framer Motion,frontend | UI/UX | accessibility | performance,Breakthrough Pulse:Delivered frontend work across multiple client products.:,Client:product lead:Abdullah's frontend work was pixel-perfect and accessible.
madiha,Madiha,Operations Lead,5+ years,/team/madiha.png,Photo,The one who keeps the machine running.,Operations lead who handles the people side and reads every message herself.,The best operations are invisible — everything just works.,Operations | People Management | Client Relations,operations | hiring | client success,"Breakthrough Pulse:Runs operations, people management, and client communications.:",Client:founder:Madiha made the whole process feel effortless.
